Age,Attrition,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome
39,1,Travel_Rarely,Sales,Technical Degree,4,Male,3,2,4,Married,2086,No,19,4,1,0,0,0,5
24,1,Travel_Rarely,Research & Development,Medical,2,Male,3,1,4,Married,2293,Yes,6,2,2,0,2,0,1
43,0,Travel_Rarely,Research & Development,Medical,4,Female,4,1,3,Divorced,2645,No,6,2,5,3,1,4,2
50,1,Travel_Rarely,Sales,Marketing,1,Male,2,1,3,Married,2683,Yes,3,3,3,2,0,2,3
35,0,Travel_Rarely,Sales,Marketing,4,Female,3,1,4,Married,2014,No,2,3,2,2,2,2,2
36,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,2,1,1,Married,3419,Yes,6,4,1,1,0,0,5
33,0,Travel_Frequently,Sales,Life Sciences,3,Female,4,2,1,Married,5376,No,10,3,5,3,1,3,1
35,0,Travel_Rarely,Research & Development,Other,3,Male,3,1,4,Divorced,1951,No,1,3,1,0,0,0,4
27,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,1,1,Divorced,2341,No,1,3,1,0,0,0,2
26,1,Travel_Rarely,Research & Development,Life Sciences,1,Male,1,1,3,Single,2293,No,1,2,1,0,0,1,25
27,0,Travel_Frequently,Sales,Life Sciences,4,Male,3,3,3,Single,8726,No,9,3,9,8,1,7,8
30,0,Travel_Frequently,Research & Development,Medical,3,Female,3,2,4,Single,4011,No,12,3,12,8,3,7,1
41,1,Travel_Rarely,Research & Development,Technical Degree,2,Female,3,5,3,Married,19545,No,23,3,22,15,15,8,12
34,0,Non-Travel,Sales,Marketing,2,Male,3,2,3,Single,4568,No,10,3,9,5,8,7,23
37,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,1,2,Married,3022,No,8,3,1,0,0,0,19
46,0,Travel_Frequently,Sales,Marketing,1,Male,3,2,4,Single,5772,Yes,14,3,9,6,0,8,5
35,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,4,1,4,Married,2269,No,1,3,1,0,0,1,8
48,1,Travel_Rarely,Research & Development,Life Sciences,1,Male,2,3,3,Single,5381,Yes,23,3,1,0,0,0,1
28,1,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,3,Single,3441,Yes,2,2,2,2,2,2,5
44,0,Travel_Rarely,Sales,Marketing,2,Female,3,2,1,Divorced,5454,Yes,9,2,4,3,1,3,1
35,0,Non-Travel,Research & Development,Medical,3,Male,2,3,1,Married,9884,Yes,10,3,4,0,2,3,11
26,0,Travel_Rarely,Sales,Marketing,3,Female,2,2,4,Married,4157,Yes,5,2,2,2,0,0,23
33,0,Travel_Frequently,Research & Development,Life Sciences,1,Female,3,3,4,Single,13458,Yes,15,3,15,14,8,12,1
35,0,Travel_Frequently,Sales,Life Sciences,2,Male,3,3,1,Married,9069,No,9,2,9,8,1,8,18
35,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,1,Married,4014,Yes,4,3,2,2,2,2,23
31,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,4,Divorced,5915,No,10,2,7,7,1,7,7
37,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,2,2,3,Divorced,5993,No,7,4,7,5,0,7,1
32,0,Travel_Rarely,Research & Development,Medical,1,Male,3,2,4,Married,6162,Yes,9,3,9,8,7,8,1
38,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,2,4,Single,2406,No,10,3,10,3,9,9,29
50,0,Travel_Rarely,Research & Development,Medical,2,Female,2,5,3,Divorced,18740,Yes,29,2,27,3,13,8,7
59,0,Travel_Rarely,Sales,Life Sciences,1,Female,3,3,1,Single,7637,No,28,2,21,16,7,9,25
36,0,Travel_Rarely,Research & Development,Technical Degree,3,Female,3,3,3,Divorced,10096,No,17,3,17,14,12,8,8
55,0,Travel_Rarely,Research & Development,Medical,4,Female,3,4,3,Divorced,14756,Yes,21,3,5,0,0,2,8
36,0,Travel_Frequently,Research & Development,Life Sciences,2,Male,2,2,2,Single,6499,No,6,3,6,5,0,3,11
45,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,3,1,Divorced,9724,No,25,3,1,0,0,0,7
35,0,Travel_Frequently,Research & Development,Medical,2,Male,3,1,1,Married,2194,No,5,2,3,2,1,2,1
36,1,Travel_Rarely,Research & Development,Medical,4,Male,2,1,3,Married,3388,Yes,2,2,1,0,0,0,9
59,0,Travel_Frequently,Sales,Life Sciences,1,Female,2,2,3,Single,5473,No,20,2,4,3,1,3,1
29,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,2,Married,2703,No,6,3,5,4,0,4,2
31,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,2,Single,2501,No,1,3,1,1,1,0,1
32,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,2,2,Married,6220,No,10,3,10,4,0,9,1
36,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,4,1,4,Married,3038,No,5,3,1,0,0,0,6
31,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,2,4,Single,4424,No,11,3,11,7,1,8,8
35,0,Travel_Rarely,Sales,Marketing,3,Male,2,2,1,Single,4312,No,16,3,15,13,2,8,1
45,0,Travel_Rarely,Research & Development,Other,4,Male,3,3,1,Married,13245,Yes,17,4,0,0,0,0,6
37,0,Travel_Rarely,Research & Development,Medical,1,Male,3,3,3,Single,13664,No,16,4,5,2,0,2,7
46,0,Travel_Rarely,Human Resources,Medical,2,Male,3,2,2,Divorced,5021,Yes,16,3,4,2,0,2,5
30,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,2,2,4,Married,5126,Yes,10,2,10,8,3,0,1
35,0,Travel_Rarely,Research & Development,Medical,2,Male,2,1,3,Single,2859,No,6,3,6,4,0,4,1
55,0,Travel_Rarely,Sales,Life Sciences,1,Male,3,3,4,Married,10239,No,24,3,1,0,1,0,1
38,0,Non-Travel,Research & Development,Medical,2,Female,1,2,4,Divorced,5329,Yes,17,3,13,11,1,9,6
34,0,Travel_Rarely,Research & Development,Medical,1,Male,3,2,2,Married,4325,No,5,3,5,2,1,3,1
56,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,1,3,4,Single,7260,No,37,2,6,4,0,2,7
23,0,Travel_Rarely,Sales,Technical Degree,3,Male,3,1,1,Divorced,2322,No,3,3,0,0,0,0,2
51,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Married,2075,No,10,3,4,2,0,3,9
30,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,2,4,Married,4152,No,11,3,11,10,10,8,2
46,1,Travel_Rarely,Sales,Medical,3,Male,2,3,4,Single,9619,No,9,3,9,8,4,7,9
40,0,Travel_Frequently,Research & Development,Life Sciences,3,Male,2,4,2,Married,13503,No,22,2,22,3,11,11,1
51,0,Travel_Rarely,Sales,Marketing,3,Male,3,2,4,Single,5441,Yes,11,1,10,7,1,0,21
30,0,Travel_Rarely,Sales,Medical,3,Female,2,2,2,Divorced,5209,Yes,11,2,11,8,2,7,4
46,0,Travel_Frequently,Research & Development,Medical,3,Male,2,3,1,Married,10673,Yes,21,2,10,9,9,5,1
32,0,Travel_Rarely,Sales,Medical,2,Male,3,2,3,Single,5010,No,12,3,11,8,5,7,6
54,0,Travel_Rarely,Research & Development,Technical Degree,1,Female,3,3,3,Married,13549,No,16,1,4,3,0,3,2
24,0,Travel_Rarely,Sales,Other,1,Female,3,2,3,Married,4999,No,4,2,3,2,0,2,3
28,0,Non-Travel,Sales,Medical,2,Male,3,2,3,Married,4221,No,5,4,5,4,0,4,4
58,0,Travel_Rarely,Sales,Medical,4,Male,3,4,3,Single,13872,No,38,2,37,10,1,8,10
44,0,Non-Travel,Research & Development,Medical,2,Male,3,2,2,Married,2042,No,17,4,3,2,1,2,23
37,1,Travel_Rarely,Human Resources,Human Resources,3,Male,3,1,1,Divorced,2073,Yes,7,3,3,2,0,2,6
32,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,1,Single,2956,No,1,3,1,0,0,0,1
20,1,Travel_Frequently,Research & Development,Life Sciences,4,Female,2,1,4,Single,2926,Yes,1,3,1,0,1,0,6
34,0,Travel_Rarely,Research & Development,Other,1,Female,3,2,3,Single,4809,No,16,3,16,13,2,10,6
37,0,Non-Travel,Research & Development,Life Sciences,3,Male,2,2,4,Divorced,5163,No,17,4,1,0,0,0,2
59,0,Non-Travel,Human Resources,Human Resources,3,Female,2,5,4,Married,18844,No,30,3,3,2,2,2,2
50,0,Travel_Frequently,Research & Development,Life Sciences,1,Female,3,5,2,Married,18172,Yes,28,2,8,3,0,7,1
25,1,Travel_Rarely,Sales,Marketing,3,Male,2,2,3,Single,5744,Yes,6,3,6,4,0,3,5
25,0,Travel_Rarely,Research & Development,Medical,4,Male,2,1,4,Married,2889,No,2,3,2,2,2,1,7
22,0,Travel_Rarely,Research & Development,Medical,2,Female,3,1,4,Single,2871,No,1,3,0,0,0,0,15
51,0,Travel_Frequently,Research & Development,Medical,1,Female,2,3,1,Single,7484,No,23,2,13,12,12,8,1
34,1,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,2,3,Single,6074,Yes,9,3,9,7,0,6,7
54,0,Non-Travel,Human Resources,Human Resources,4,Female,4,4,4,Single,17328,Yes,23,3,5,3,4,4,26
24,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,1,3,Married,2774,No,6,3,5,3,1,2,18
34,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,2,2,2,Divorced,4505,No,12,3,1,0,0,0,6
37,0,Travel_Rarely,Sales,Life Sciences,3,Male,3,3,4,Single,7428,No,12,3,5,3,1,3,3
34,0,Travel_Rarely,Research & Development,Medical,3,Female,2,3,1,Single,11631,No,14,3,11,10,5,8,5
36,0,Travel_Frequently,Sales,Technical Degree,2,Female,3,3,4,Married,9738,No,10,3,9,7,2,8,11
36,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,4,Divorced,2835,No,7,3,1,0,0,0,3
43,0,Travel_Frequently,Sales,Life Sciences,3,Male,3,4,4,Married,16959,Yes,25,4,25,12,4,12,26
30,0,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,1,3,Divorced,2613,No,10,2,10,7,0,9,23
33,0,Non-Travel,Sales,Marketing,3,Male,3,2,2,Married,6146,No,8,4,7,7,0,7,22
56,1,Travel_Rarely,Research & Development,Life Sciences,2,Female,3,1,2,Married,4963,Yes,7,3,5,4,4,3,14
51,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,5,3,Single,19537,No,23,3,20,18,15,15,6
31,1,Travel_Rarely,Sales,Life Sciences,2,Male,1,2,3,Married,6172,Yes,12,2,7,7,7,7,6
26,0,Travel_Rarely,Research & Development,Other,3,Female,2,1,2,Married,2368,No,5,2,5,4,4,3,6
58,1,Travel_Rarely,Research & Development,Medical,4,Female,3,3,4,Married,10312,No,40,2,40,10,15,6,23
19,1,Travel_Rarely,Sales,Marketing,4,Male,3,1,3,Single,1675,Yes,0,2,0,0,0,0,22
22,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,4,Married,2523,No,3,3,2,1,2,1,2
49,0,Travel_Rarely,Research & Development,Medical,3,Female,3,2,1,Married,6567,No,16,2,15,11,5,11,20
43,0,Travel_Frequently,Research & Development,Medical,2,Female,4,1,3,Single,4739,No,18,3,3,2,1,2,28
50,0,Travel_Frequently,Sales,Marketing,3,Female,3,3,4,Single,9208,No,16,3,2,2,2,1,12
31,1,Travel_Rarely,Sales,Life Sciences,2,Female,1,2,3,Married,4559,Yes,4,3,2,2,2,2,20
41,0,Travel_Rarely,Sales,Life Sciences,3,Male,3,3,3,Divorced,8189,Yes,12,3,9,7,0,7,9
26,0,Travel_Rarely,Human Resources,Life Sciences,3,Female,3,1,3,Married,2942,No,8,3,8,7,5,7,25
36,0,Travel_Rarely,Research & Development,Medical,2,Male,3,2,2,Divorced,4941,No,7,3,3,2,0,1,6
51,1,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,3,4,Single,10650,No,18,3,4,2,0,3,8
39,0,Travel_Rarely,Sales,Life Sciences,4,Female,2,2,3,Married,5902,No,17,4,15,11,5,9,4
25,0,Travel_Rarely,Sales,Life Sciences,1,Male,2,2,3,Married,8639,No,6,3,2,2,2,2,28
30,0,Travel_Rarely,Human Resources,Human Resources,3,Male,3,2,4,Married,6347,Yes,12,1,11,9,4,7,9
32,1,Travel_Rarely,Research & Development,Medical,1,Female,3,1,1,Single,4200,No,10,4,5,4,0,4,9
45,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Single,3452,No,9,2,6,5,0,3,29
38,0,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,2,3,Single,4317,Yes,19,3,3,2,2,2,3
30,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,3,Single,2632,No,5,2,5,4,0,4,18
32,0,Travel_Frequently,Sales,Medical,4,Male,1,2,4,Divorced,4668,No,9,4,8,7,0,7,9
30,0,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,1,1,Divorced,3204,No,8,3,3,2,2,2,5
30,0,Travel_Rarely,Research & Development,Medical,2,Male,2,1,4,Single,2720,No,6,3,5,3,1,2,2
41,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,4,1,Divorced,17181,No,21,2,7,6,7,7,10
41,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,1,Married,2238,No,7,3,5,0,1,4,9
19,0,Travel_Rarely,Research & Development,Medical,2,Female,3,1,2,Single,1483,No,1,3,1,0,0,0,3
40,0,Travel_Frequently,Research & Development,Medical,2,Female,3,2,2,Divorced,5605,No,20,3,20,7,2,13,26
35,0,Travel_Rarely,Sales,Marketing,3,Male,3,3,2,Married,7295,No,10,3,10,8,0,6,1
53,0,Travel_Rarely,Sales,Marketing,2,Male,3,2,3,Married,2306,Yes,13,1,7,7,4,5,6
45,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,2,2,Divorced,2348,No,20,1,17,9,0,15,9
32,0,Travel_Frequently,Sales,Marketing,2,Female,3,3,4,Single,8998,No,9,3,9,8,3,7,8
29,0,Non-Travel,Research & Development,Technical Degree,4,Male,3,2,3,Married,4319,No,10,3,10,7,0,9,1
51,0,Travel_Rarely,Research & Development,Medical,2,Male,2,2,3,Married,6132,No,10,3,1,0,0,0,7
58,0,Travel_Rarely,Research & Development,Medical,2,Female,2,1,2,Married,3346,Yes,9,2,1,0,0,0,9
40,0,Travel_Rarely,Sales,Marketing,3,Male,2,3,4,Married,10855,No,15,2,12,11,2,11,4
34,0,Travel_Frequently,Sales,Marketing,3,Female,3,1,3,Married,2231,No,6,3,4,3,1,2,2
22,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2323,No,2,3,2,2,2,2,19
27,0,Non-Travel,Research & Development,Medical,4,Male,3,1,2,Divorced,2024,No,6,1,2,2,2,2,9
28,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2713,No,5,1,5,2,0,2,21
57,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,4,3,4,Divorced,9439,Yes,12,1,5,3,1,4,24
27,0,Non-Travel,Research & Development,Medical,3,Male,2,1,3,Divorced,2566,Yes,1,2,1,1,0,1,3
50,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,5,2,Single,19926,No,21,3,5,4,4,4,11
41,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,3,Divorced,2451,No,13,3,9,8,1,8,14
30,0,Travel_Rarely,Sales,Life Sciences,2,Female,3,3,4,Married,9419,No,12,3,10,9,7,4,5
38,0,Travel_Rarely,Sales,Life Sciences,1,Female,2,2,4,Single,8686,No,12,4,8,3,0,7,1
32,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,3,Single,3038,No,8,3,5,4,1,4,6
27,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,2,Married,3058,Yes,6,2,5,2,1,1,17
19,1,Travel_Frequently,Sales,Technical Degree,3,Female,1,1,1,Single,2325,No,1,4,0,0,0,0,1
36,0,Travel_Frequently,Research & Development,Medical,4,Male,3,1,2,Single,2088,No,13,2,8,7,7,2,3
30,0,Non-Travel,Research & Development,Medical,3,Male,3,2,1,Divorced,3072,No,12,3,12,9,6,10,9
45,0,Travel_Rarely,Sales,Life Sciences,3,Female,3,2,1,Divorced,5006,Yes,9,4,5,4,0,3,4
56,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,1,1,Divorced,4257,Yes,19,3,2,2,2,2,8
33,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Single,2500,No,4,4,3,1,0,2,2
19,1,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,1,4,Single,1102,No,1,2,1,0,1,0,2
46,0,Travel_Rarely,Sales,Marketing,2,Female,3,3,1,Divorced,10453,No,24,3,24,13,15,7,1
38,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,1,4,Single,2288,No,2,3,2,2,2,1,9
31,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,4,Married,3929,Yes,7,3,4,2,0,2,12
34,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Single,2311,No,9,3,3,2,1,2,27
41,1,Travel_Rarely,Sales,Marketing,2,Female,3,1,2,Single,3140,Yes,4,2,4,3,0,2,20
50,0,Travel_Rarely,Research & Development,Medical,3,Male,2,1,3,Married,3690,No,5,2,3,2,0,2,1
53,0,Travel_Rarely,Research & Development,Medical,4,Female,4,2,1,Divorced,4450,No,5,3,4,2,1,3,13
33,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Married,2756,No,8,3,8,7,1,6,14
40,0,Travel_Rarely,Research & Development,Medical,4,Female,3,5,3,Married,19033,No,21,3,20,8,9,9,4
55,0,Travel_Rarely,Research & Development,Medical,3,Male,4,5,2,Single,18722,No,36,3,24,15,2,15,14
34,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,2,3,Married,9547,No,10,2,10,9,1,9,2
51,0,Travel_Rarely,Research & Development,Medical,4,Female,3,4,2,Single,13734,No,21,3,7,7,1,0,3
52,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,5,3,Married,19999,No,34,3,33,18,11,9,1
27,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Single,2279,No,7,2,7,7,0,3,9
35,1,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,2,3,Married,5916,Yes,8,3,1,0,0,1,23
43,0,Non-Travel,Research & Development,Medical,4,Male,4,1,4,Divorced,2089,No,7,4,5,4,2,2,7
45,0,Non-Travel,Research & Development,Medical,1,Male,2,4,4,Married,16792,No,22,3,20,8,11,8,2
37,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,4,1,1,Married,3564,Yes,8,2,8,7,1,7,21
35,0,Travel_Frequently,Research & Development,Medical,2,Female,3,2,2,Single,4425,No,10,3,6,2,1,2,2
42,0,Non-Travel,Research & Development,Medical,3,Female,3,2,3,Divorced,5265,No,11,3,5,3,0,2,21
38,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,3,Married,6553,No,14,3,1,0,0,0,2
38,0,Travel_Rarely,Research & Development,Technical Degree,4,Male,3,2,4,Married,6261,No,9,1,7,7,1,7,29
27,0,Travel_Frequently,Research & Development,Technical Degree,3,Male,2,2,1,Married,4298,No,6,3,2,2,2,0,1
49,0,Non-Travel,Research & Development,Life Sciences,4,Male,3,2,4,Divorced,6804,Yes,7,3,7,7,1,7,18
34,0,Travel_Frequently,Research & Development,Medical,4,Male,3,1,3,Divorced,3815,Yes,5,4,5,3,2,0,10
40,0,Travel_Rarely,Research & Development,Medical,3,Male,3,2,4,Married,2741,Yes,15,4,7,2,3,7,19
38,1,Travel_Rarely,Research & Development,Medical,2,Male,3,2,1,Married,6673,Yes,17,3,1,0,0,0,29
29,1,Travel_Rarely,Sales,Marketing,2,Female,3,3,4,Married,7639,No,10,2,10,4,1,9,27
22,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,4,1,2,Divorced,2328,Yes,4,2,4,2,2,2,5
36,0,Travel_Frequently,Research & Development,Medical,2,Female,3,1,4,Single,2153,No,8,3,8,1,1,7,18
40,0,Non-Travel,Research & Development,Life Sciences,4,Male,2,2,4,Married,4876,No,5,1,3,2,0,2,9
46,0,Travel_Rarely,Research & Development,Medical,4,Male,3,3,1,Divorced,9396,No,17,3,4,2,0,3,1
32,1,Travel_Rarely,Sales,Medical,4,Male,1,3,4,Married,10400,No,14,2,14,8,9,8,4
30,0,Non-Travel,Research & Development,Life Sciences,3,Male,2,3,3,Single,8474,No,12,3,11,8,5,8,1
27,0,Travel_Frequently,Sales,Life Sciences,4,Female,3,2,3,Single,9981,No,7,3,7,7,0,7,20
51,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,3,2,Married,12490,No,16,1,10,9,4,7,8
30,1,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,1,1,Single,2657,Yes,8,3,5,2,0,4,3
41,0,Travel_Rarely,Sales,Life Sciences,4,Female,3,3,4,Single,13591,Yes,16,3,1,0,0,0,6
30,1,Travel_Frequently,Sales,Marketing,3,Female,2,2,1,Single,6696,No,9,2,6,3,0,1,26
29,1,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,3,Single,2058,No,7,2,6,2,1,5,1
45,0,Non-Travel,Sales,Medical,4,Female,2,3,4,Single,8865,No,23,3,19,7,12,8,6
54,0,Travel_Rarely,Sales,Marketing,4,Female,3,2,1,Married,5940,No,16,3,6,2,0,5,3
36,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,2,Single,5914,No,16,4,13,11,3,7,5
33,0,Travel_Rarely,Research & Development,Medical,3,Female,2,1,2,Married,2622,No,7,3,3,2,1,1,4
37,0,Travel_Frequently,Research & Development,Other,2,Male,3,3,4,Divorced,12185,Yes,10,3,10,8,0,7,11
38,0,Travel_Rarely,Sales,Life Sciences,1,Male,3,3,3,Divorced,10609,No,17,2,16,10,5,13,3
31,0,Non-Travel,Research & Development,Medical,3,Male,1,2,3,Married,4345,No,6,3,5,4,1,4,1
59,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,1,4,Married,2177,No,7,3,1,0,0,0,3
37,0,Travel_Frequently,Sales,Marketing,1,Male,3,1,4,Divorced,2793,No,13,3,9,8,5,8,4
29,0,Travel_Frequently,Sales,Medical,2,Female,3,3,4,Married,7918,No,11,3,11,10,4,1,1
35,0,Travel_Frequently,Sales,Marketing,3,Female,3,3,3,Single,8789,No,10,4,10,7,0,8,1
29,1,Travel_Rarely,Research & Development,Medical,3,Male,2,1,4,Single,2389,Yes,4,2,4,3,0,1,18
52,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,2,1,4,Single,3212,No,6,2,2,2,2,2,2
42,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,5,4,Married,19232,No,22,3,22,17,11,15,4
59,0,Travel_Rarely,Human Resources,Medical,2,Male,3,1,3,Married,2267,No,7,2,2,2,2,2,6
50,0,Travel_Rarely,Sales,Medical,4,Female,3,5,4,Divorced,19517,No,32,2,7,0,0,6,1
33,1,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2436,Yes,8,1,5,4,0,4,14
43,0,Travel_Rarely,Sales,Marketing,4,Female,3,4,4,Married,16064,Yes,22,3,17,13,1,9,16
